Pair,Colex_freq_group,Associativity,Familiarity,Concreteness
"('HOLD', 'PULL')",1,0.0055,580.5,56.0
"('CALF', 'LEG')",1,0.0605,550.0,34.0
"('LAMB', 'SHEEP')",1,0.2475,513.0,11.0
"('GO', 'MOVE')",1,0.036000000000000004,595.0,53.0
"('SOUL', 'SPIRIT')",1,0.097,531.0,7.0
"('MOUSE', 'RAT')",1,0.2025,534.0,0.0
"('LEATHER', 'SKIN')",1,0.012,581.0,39.0
"('RIVER', 'VALLEY')",1,0.02,540.0,10.0
"('BAD', 'HATE')",1,0.0085,572.0,27.0
"('HAPPY', 'LOVE')",1,0.014,620.0,44.0
"('COMMAND', 'TELL')",1,0.0275,561.0,71.0
"('EYE', 'FACE')",1,0.012,611.5,35.0
"('BECAUSE', 'WHY')",1,0.4605,596.5,71.0
"('KETTLE', 'POT')",1,0.1315,564.0,18.0
"('BEAT', 'FIGHT')",1,0.011,548.5,94.0
"('LOOK', 'SEEM')",1,0.0085,578.0,150.0
"('ANGER', 'HATE')",1,0.0685,546.5,20.0
"('SIDE', 'TOP')",1,0.0215,568.5,41.0
"('CLOTHES', 'WEAR')",1,0.2975,594.0,240.0
"('COTTON', 'SHEEP')",1,0.007,514.0,14.0
"('PAIR', 'TWO')",1,0.245,570.0,6.0
"('FAMILY', 'HOME')",1,0.081,616.5,14.0
"('FLESH', 'MEAT')",1,0.047,536.0,10.0
"('BURN', 'HOT')",1,0.0405,577.5,17.0
"('INSECT', 'WORM')",1,0.006,520.0,18.0
"('DRINK', 'WATER')",1,0.1595,634.5,67.0
"('COUSIN', 'FRIEND')",1,0.03,559.0,52.0
"('COTTON', 'WOOL')",1,0.052500000000000005,530.5,0.0
"('SPEECH', 'VOICE')",1,0.01,572.5,32.0
"('FIRE', 'FOUR')",1,0.01,566.5,230.0
"('TIME', 'WHEN')",1,0.0525,606.5,124.0
"('LOBSTER', 'RED')",1,0.0415,539.5,89.0
"('CHAIR', 'SIT')",1,0.1975,599.0,169.0
"('FOUR', 'THREE')",1,0.243,567.0,74.0
"('KEEP', 'OWN')",1,0.016,591.0,22.0
"('FEEL', 'PITY')",1,0.007,552.0,21.0
"('AFTER', 'BEFORE')",1,0.715,579.0,19.0
"('GOVERNMENT', 'RULE')",1,0.02,564.0,140.0
"('CLOUD', 'DUST')",1,0.007,555.5,4.0
"('GET', 'TAKE')",1,0.08449999999999999,579.5,42.0
"('LIKE', 'LOVE')",1,0.1895,614.5,25.0
"('BE', 'THERE')",1,0.0065,608.0,9.0
"('DOG', 'HORSE')",1,0.006,579.0,3.0
"('MOTHER', 'SISTER')",1,0.012,610.0,4.0
"('PRISONER', 'SLAVE')",1,0.007,451.5,9.0
"('BORDER', 'BOUNDARY')",1,0.0765,485.0,33.0
"('BOARD', 'TABLE')",1,0.0065,572.5,39.0
"('MEDICINE', 'PILL')",1,0.122,551.5,93.0
"('ALONE', 'ONE')",1,0.0405,587.5,11.0
"('CHAIN', 'ROPE')",1,0.0195,526.0,13.0
"('SCHOOL', 'TEACH')",1,0.0425,567.0,220.0
"('KEY', 'LOCK')",1,0.3305,595.5,47.0
"('SHALLOW', 'SHORT')",1,0.0105,563.0,21.0
"('HOUR', 'TIME')",1,0.1185,606.0,32.0
"('CLOTH', 'WOOL')",1,0.007,550.5,28.0
"('CHEW', 'EAT')",1,0.08249999999999999,549.5,44.0
"('FLOAT', 'SWIM')",1,0.046,551.5,31.0
"('FOOD', 'STOMACH')",1,0.0815,563.0,20.0
"('EDGE', 'SIDE')",1,0.017,567.5,71.0
"('BITE', 'FIGHT')",1,0.0055,577.0,54.0
"('STRING', 'THREAD')",1,0.050499999999999996,544.0,37.0
"('LEARN', 'READ')",1,0.039,560.0,50.0
"('LAKE', 'WATER')",1,0.125,612.0,31.0
"('NARROW', 'SMALL')",1,0.049,581.0,30.0
"('BITE', 'EAT')",1,0.0135,561.0,23.0
"('ANT', 'INSECT')",1,0.1155,526.5,11.0
"('BLOOD', 'HEART')",1,0.0355,574.5,8.0
"('LOVE', 'MOTHER')",1,0.0205,625.5,268.0
"('BIRD', 'HEN')",1,0.01,526.5,29.0
"('SUGAR', 'SWEET')",1,0.247,589.0,157.0
"('CLEAN', 'WHITE')",1,0.024,600.0,80.0
"('HAND', 'THUMB')",1,0.142,601.0,34.0
"('BIRD', 'TREE')",1,0.01,602.5,2.0
"('HEAVY', 'LOAD')",1,0.1595,571.5,26.0
"('HAIR', 'HEAD')",1,0.11449999999999999,593.0,20.0
"('GOAT', 'RAM')",1,0.0465,468.5,95.0
"('GREEN', 'YELLOW')",1,0.1505,569.0,77.0
"('WHAT', 'WHO')",1,0.20500000000000002,603.5,59.0
"('CHAIR', 'TABLE')",1,0.535,608.0,2.0
"('COIN', 'MONEY')",1,0.2275,597.5,7.0
"('FIRE', 'HEAT')",1,0.051000000000000004,580.0,123.0
"('LAKE', 'OCEAN')",1,0.018000000000000002,554.5,8.0
"('BUY', 'SELL')",1,0.447,580.0,28.0
"('BREAD', 'DOUGH')",1,0.184,542.5,5.0
"('GOLD', 'SILVER')",1,0.5549999999999999,539.0,12.0
"('HAVE', 'KEEP')",1,0.0585,590.5,88.0
"('BALL', 'ROUND')",1,0.1245,569.0,177.0
"('PATH', 'ROAD')",1,0.129,567.5,79.0
"('BUTTERFLY', 'SOFT')",1,0.006,535.5,179.0
"('BELLY', 'SCRATCH')",1,0.007,519.5,107.0
"('DIRT', 'SOOT')",1,0.0765,480.5,1.0
"('SKY', 'UP')",1,0.0155,607.5,142.0
"('PEACE', 'WORLD')",1,0.0105,589.0,223.0
"('SHORT', 'SMALL')",1,0.0795,601.0,51.0
"('LIVER', 'LUNG')",1,0.007,513.5,48.0
"('FOX', 'TAIL')",1,0.0065,517.0,8.0
"('FATHER', 'MOTHER')",1,0.6515,611.5,15.0
"('HOLD', 'KEEP')",1,0.149,590.0,77.0
"('CRUSH', 'POUND')",1,0.01,549.0,134.0
"('BREAD', 'FOOD')",1,0.0225,595.0,25.0
"('ENOUGH', 'FULL')",1,0.058,569.5,132.0
"('GOVERNMENT', 'PRESIDENT')",1,0.0375,566.0,100.0
"('FILL', 'POUR')",1,0.0445,533.0,16.0
"('BREAST', 'CHEST')",1,0.07350000000000001,549.0,0.0
"('CHEST', 'STOMACH')",1,0.0105,545.0,37.0
"('REGRET', 'SAD')",1,0.0205,559.0,100.0
"('FLOW', 'GO')",1,0.0055,568.0,26.0
"('FRIEND', 'HUSBAND')",1,0.0055,580.0,99.0
"('FLOWER', 'WHEAT')",1,0.01,538.0,10.0
"('FIVE', 'FOUR')",1,0.253,553.0,0.0
"('PERSON', 'WOMAN')",1,0.007,621.5,18.0
"('DEAD', 'DIE')",1,0.049,575.0,71.0
"('ASH', 'FIRE')",1,0.1015,537.0,12.0
"('FEVER', 'HOT')",1,0.171,530.5,15.0
"('GRASS', 'HAY')",1,0.01,536.5,24.0
"('SHOVEL', 'SPADE')",1,0.088,520.5,16.0
"('CAR', 'VEHICLE')",1,0.37,584.0,64.0
"('BLAME', 'FAULT')",1,0.139,541.0,22.0
"('CUT', 'WOUND')",1,0.096,527.5,131.0
"('GOLD', 'YELLOW')",1,0.038,552.5,39.0
"('CLOAK', 'COVER')",1,0.0065,510.0,41.0
"('DAMAGE', 'DESTROY')",1,0.0575,554.5,39.0
"('CHEST', 'HEART')",1,0.029,560.5,25.0
"('ICE', 'SNOW')",1,0.029,589.5,3.0
"('HAIR', 'SKIN')",1,0.0235,583.0,31.0
"('MOVE', 'WALK')",1,0.014,598.5,62.0
"('LOW', 'VALLEY')",1,0.027,547.5,253.0
"('KING', 'PRESIDENT')",1,0.007,530.0,33.0
"('BAD', 'DANGER')",1,0.0105,574.5,30.0
"('COLOR', 'RED')",1,0.1445,594.5,34.0
"('RIB', 'SIDE')",1,0.01,551.0,205.0
"('SALT', 'SEA')",1,0.0055,574.5,2.0
"('CRIME', 'MURDER')",1,0.0345,532.5,58.0
"('PATH', 'STREET')",1,0.012,566.5,75.0
"('HEAD', 'SKULL')",1,0.248,557.0,33.0
"('GIRL', 'WOMAN')",1,0.0605,634.0,27.0
"('PRISON', 'PRISONER')",1,0.0185,473.5,22.0
"('MORNING', 'NIGHT')",1,0.108,620.5,19.0
"('HOW', 'WHEN')",1,0.0535,601.0,24.0
"('RIGHT', 'SIDE')",1,0.007,582.5,33.0
"('FACE', 'NOSE')",1,0.173,598.0,29.0
"('LOAD', 'WEIGHT')",1,0.01,570.0,23.0
"('GHOST', 'SPIRIT')",1,0.094,511.5,83.0
"('HEART', 'LUNG')",1,0.092,562.0,36.0
"('MUSIC', 'SONG')",1,0.1415,601.0,2.0
"('FAR', 'LONG')",1,0.0205,583.0,79.0
"('FLESH', 'SKIN')",1,0.3045,537.0,17.0
"('GUESS', 'SUSPECT')",1,0.007,536.5,132.0
"('GRAVE', 'HOLE')",1,0.0165,523.0,50.0
"('PEOPLE', 'WORLD')",1,0.022,617.5,8.0
"('LIFE', 'SOUL')",1,0.007,571.0,72.0
"('BROAD', 'WIDE')",1,0.20700000000000002,546.0,51.0
"('IRON', 'STEEL')",1,0.241,554.0,2.0
"('THING', 'WHAT')",1,0.0145,597.5,57.0
"('OCEAN', 'RIVER')",1,0.012,545.5,8.0
"('GROW', 'INCREASE')",1,0.007,576.0,94.0
"('BITE', 'STING')",1,0.022,536.5,0.0
"('CORNER', 'SQUARE')",1,0.007,566.0,17.0
"('DEMON', 'GHOST')",1,0.0165,452.0,77.0
"('FATHER', 'GOD')",1,0.007,579.0,229.0
"('DARK', 'OBSCURE')",1,0.0105,516.0,177.0
"('FROG', 'TOAD')",1,0.5455,511.5,51.0
"('ENOUGH', 'MORE')",1,0.04,578.5,38.0
"('BREAKFAST', 'MORNING')",1,0.034,631.0,61.0
"('FIRE', 'WOOD')",1,0.109,577.0,11.0
"('DROP', 'FALL')",1,0.12350000000000001,574.5,89.0
"('HUSBAND', 'MAN')",1,0.009,590.0,69.0
"('ATTACK', 'BATTLE')",1,0.007,539.5,153.0
"('BUY', 'GET')",1,0.011,589.5,80.0
"('ARROW', 'BOW')",1,0.465,489.5,23.0
"('BROTHER', 'SISTER')",1,0.642,593.0,10.0
"('BODY', 'PERSON')",1,0.0275,615.0,6.0
"('GRAPE', 'VINE')",1,0.412,471.5,10.0
"('BUTTER', 'CHEESE')",1,0.006,601.5,6.0
"('IDEA', 'MIND')",1,0.005,588.0,74.0
"('DITCH', 'HOLE')",1,0.138,528.0,70.0
"('AGE', 'TIME')",1,0.023,593.0,47.0
"('CLOTHES', 'DRESS')",1,0.041,620.0,5.0
"('AUNT', 'UNCLE')",1,0.726,555.5,16.0
"('COUSIN', 'NEPHEW')",1,0.054000000000000006,483.5,39.0
"('PLATE', 'SAUCER')",1,0.0485,544.5,11.0
"('FIRE', 'FIREPLACE')",1,0.09949999999999999,554.5,3.0
"('HOUSE', 'ROOF')",1,0.1655,576.0,22.0
"('TOWN', 'VILLAGE')",1,0.172,556.5,20.0
"('HOW', 'WHAT')",1,0.049,600.5,98.0
"('BEVERAGE', 'DRINK')",1,0.2465,628.0,0.0
"('LETTER', 'MAIL')",1,0.1935,582.0,69.0
"('CAST', 'THROW')",1,0.044,521.5,102.0
"('STORM', 'THUNDER')",1,0.08750000000000001,551.0,20.0
"('FISH', 'FOOD')",1,0.018,563.5,0.0
"('CRAB', 'LOBSTER')",1,0.1345,452.5,36.0
"('NO', 'REFUSE')",1,0.15050000000000002,561.5,108.0
"('FISH', 'MEAT')",1,0.017,568.5,10.0
"('HOW', 'WHY')",1,0.2575,591.0,72.0
"('COAST', 'SHORE')",1,0.043500000000000004,536.0,12.0
"('BRIGHT', 'LIGHTNING')",1,0.0245,527.0,52.0
"('NEWSPAPER', 'PAPER')",1,0.005,638.0,23.0
"('AIR', 'BREATH')",1,0.131,590.0,39.0
"('EWE', 'SHEEP')",1,0.104,424.0,84.0
"('CHICKEN', 'EGG')",1,0.1335,576.0,1.0
"('ANKLE', 'FOOT')",1,0.182,563.0,50.0
"('SMOOTH', 'SOFT')",1,0.1055,580.0,8.0
"('BATTLE', 'FIGHT')",1,0.08850000000000001,549.0,109.0
"('CHEST', 'LUNG')",1,0.0145,544.5,11.0
"('DREAM', 'SLEEP')",1,0.2205,581.5,98.0
"('MAN', 'PERSON')",1,0.061,621.5,56.0
"('BLUE', 'YELLOW')",1,0.034,574.0,78.0
"('FOUR', 'TWO')",1,0.051,574.5,18.0
"('CATTLE', 'HORSE')",1,0.01,535.5,13.0
"('FALL', 'JUMP')",1,0.0165,561.5,40.0
"('BREAD', 'WHEAT')",1,0.1075,560.5,28.0
"('FOOT', 'HEEL')",1,0.1145,553.5,21.0
"('HOT', 'SUMMER')",1,0.076,609.5,68.0
"('MOUNTAIN', 'VILLAGE')",1,0.007,549.0,40.0
"('NOW', 'SOON')",1,0.191,576.0,48.0
"('GROW', 'OLD')",1,0.028,589.0,60.0
"('INSECT', 'SPIDER')",1,0.0635,534.0,14.0
"('HAMMER', 'POUND')",1,0.024,566.5,90.0
"('BEGINNING', 'FIRST')",1,0.007,591.5,7.0
"('FOOD', 'FRUIT')",1,0.0085,584.5,15.0
"('CONDEMN', 'DESTROY')",1,0.0195,525.5,53.0
"('CLOTH', 'SHIRT')",1,0.009,586.5,36.0
"('CHOP', 'CUT')",1,0.194,534.0,125.0
"('FATHER', 'UNCLE')",1,0.0105,574.0,14.0
"('HEART', 'MIND')",1,0.012,584.5,272.0
"('HOUSE', 'TENT')",1,0.0275,560.5,0.0
"('STICK', 'WOOD')",1,0.025,551.0,2.0
"('BREAST', 'MILK')",1,0.053,571.5,90.0
"('WHAT', 'WHY')",1,0.082,598.5,26.0
"('RED', 'WHITE')",1,0.07150000000000001,598.5,29.0
"('BURY', 'COVER')",1,0.0445,538.0,130.0
"('EIGHT', 'FOUR')",1,0.0065,583.0,3.0
"('HIGH', 'SKY')",1,0.0155,609.5,171.0
"('PIPE', 'TOBACCO')",1,0.035500000000000004,546.5,7.0
"('MEDICINE', 'POISON')",1,0.0055,525.5,10.0
"('ELECTRICITY', 'LIGHTNING')",1,0.0345,533.0,99.0
"('MIND', 'SOUL')",1,0.017,567.5,44.0
"('CLEVER', 'CUNNING')",1,0.007,466.0,48.0
"('SERVANT', 'SLAVE')",1,0.089,427.5,24.0
"('DIVE', 'JUMP')",1,0.0515,529.5,45.0
"('LEOPARD', 'LION')",1,0.017,471.0,32.0
"('BITE', 'SCRATCH')",1,0.007,573.0,14.0
"('CLEVER', 'WISE')",1,0.014,524.0,45.0
"('TIDE', 'WAVE')",1,0.069,511.0,24.0
"('HOUSE', 'VILLAGE')",1,0.051,562.0,32.0
"('ANGER', 'GRIEF')",1,0.006,523.0,12.0
"('LAKE', 'POND')",1,0.21899999999999997,544.5,38.0
"('BABY', 'CHILD')",1,0.20700000000000002,591.0,8.0
"('COTTON', 'SILK')",1,0.0155,501.5,70.0
"('CIGARETTE', 'TOBACCO')",1,0.156,565.5,2.0
"('FAULT', 'WRONG')",1,0.037,570.5,12.0
"('CAVE', 'HOLE')",1,0.077,535.5,107.0
"('LAZY', 'SLOW')",1,0.034,580.5,61.0
"('BOY', 'MAN')",1,0.06,614.5,9.0
"('CIRCLE', 'WHEEL')",1,0.0175,573.5,58.0
"('BOWL', 'SPOON')",1,0.039,584.5,39.0
"('FRUIT', 'TREE')",1,0.0055,601.5,8.0
"('SEA', 'TIDE')",1,0.01,520.5,80.0
"('ENEMY', 'WAR')",1,0.0225,552.5,43.0
"('BOUNDARY', 'EDGE')",1,0.013,525.0,54.0
"('SHOUT', 'SING')",1,0.0055,566.5,50.0
"('DIE', 'KILL')",1,0.05,559.0,28.0
"('BAD', 'DEMON')",1,0.01,495.5,6.0
"('COLD', 'ICE')",1,0.23099999999999998,595.0,164.0
"('HEART', 'LIVER')",1,0.0205,529.5,12.0
"('BURN', 'FIRE')",1,0.1605,564.0,105.0
"('LEAF', 'TREE')",1,0.402,584.5,11.0
"('FAST', 'SOON')",1,0.007,573.5,43.0
"('DIVE', 'SWIM')",1,0.1345,529.0,12.0
"('CUT', 'GRASS')",1,0.057,584.0,169.0
"('BOY', 'NEPHEW')",1,0.027,529.0,68.0
"('ALWAYS', 'NEVER')",1,0.393,586.0,10.0
"('HOME', 'VILLAGE')",1,0.0135,575.0,37.0
"('GRIEF', 'PAIN')",1,0.0605,537.0,123.0
"('MOON', 'SUN')",1,0.22449999999999998,610.0,36.0
"('COUNTRY', 'LAND')",1,0.0305,583.0,139.0
"('CATTLE', 'SHEEP')",1,0.0235,509.0,22.0
"('BUD', 'FLOWER')",1,0.0755,515.5,35.0
"('CUT', 'SCRATCH')",1,0.035,567.0,93.0
"('CUT', 'SPLIT')",1,0.0325,547.5,13.0
"('AIR', 'SKY')",1,0.032,607.5,24.0
"('EYE', 'I')",1,0.02,619.5,151.0
"('SOME', 'THING')",1,0.0215,582.5,64.0
"('EMBRACE', 'KISS')",1,0.0135,512.5,115.0
"('HOME', 'TOWN')",1,0.011,607.5,17.0
"('BE', 'LIVE')",1,0.0055,610.5,211.0
"('BODY', 'FLESH')",1,0.008,546.5,29.0
"('LONG', 'SNAKE')",1,0.012,540.0,240.0
"('FIRST', 'ONE')",1,0.0135,601.5,68.0
"('LEAF', 'TOBACCO')",1,0.005,557.0,16.0
"('FORK', 'SPOON')",1,0.5275,598.0,22.0
"('FOREST', 'WOOD')",1,0.015,543.5,3.0
"('LOOK', 'WATCH')",1,0.08,591.5,111.0
"('BLUE', 'SKY')",1,0.403,600.0,83.0
"('CIRCLE', 'ROUND')",1,0.198,572.0,77.0
"('POST', 'WOOD')",1,0.01,580.0,73.0
"('BOW', 'HAIR')",1,0.0205,532.0,11.0
"('BAD', 'WRONG')",1,0.0205,596.0,5.0
"('SUMMER', 'SUN')",1,0.0605,623.5,178.0
"('BUNCH', 'CROWD')",1,0.024,513.0,94.0
"('BODY', 'SKIN')",1,0.0235,600.5,46.0
"('STORM', 'WIND')",1,0.0845,573.5,25.0
"('OAK', 'PINE')",1,0.0065,536.0,4.0
"('KEEP', 'TAKE')",1,0.063,569.5,7.0
"('CLOCK', 'HOUR')",1,0.0105,608.0,216.0
"('FROST', 'SNOW')",1,0.1275,580.5,10.0
"('ONE', 'OTHER')",1,0.015,597.0,104.0
"('KILL', 'SHOOT')",1,0.153,542.5,59.0
"('COLD', 'FROST')",1,0.185,586.0,151.0
"('CATERPILLAR', 'INSECT')",1,0.0305,499.5,7.0
"('AFTERNOON', 'LATE')",1,0.007,619.5,144.0
"('CHOOSE', 'TAKE')",1,0.014,544.5,24.0
"('HONEY', 'SWEET')",1,0.2255,551.5,148.0
"('CLOTHES', 'COVER')",1,0.0165,624.5,98.0
"('ANKLE', 'KNEE')",1,0.038,571.0,15.0
"('AGE', 'YEAR')",1,0.051,591.5,26.0
